C111120,Crystals,SMD Crystal Resonators,7A08000008,SMD-5032_2P,2,TXC Corp,Extended,8MHz ㊣30ppm 20pF 80次 SMD-5032_2P SMD Crystal Resonators RoHS,https://datasheet.lcsc.com/lcsc/1811101510_TXC-Corp-7A08000008_C111120.pdf,10-29:0.242834646,100-499:0.179842520,1000-1999:0.172519685,1-9:0.290393701,30-99:0.208346457,2000-3999:0.170740157,500-999:0.174960630,4000-:0.169543307,4,
C111806,Crystals,DIP Crystal Resonators,E49A8E00000FE10CO,HC-49S,2,Hosonic Elec,Extended,8MHz ㊣20ppm 20pF 80 Ohm(Max) HC-49S DIP Crystal Resonators RoHS,https://datasheet.lcsc.com/szlcsc/1810170925_Hosonic-Elec-E49A8E00000FE10CO_C111806.pdf,5-45:0.126614173,50-145:0.104566929,500-2495:0.075275591,5000-9995:0.071811024,20000-:0.070551181,2500-4995:0.072913386,150-495:0.088503937,10000-19995:0.071023622,0,
C111903,Crystals,SMD Crystal Resonators,AA08000002,SMD-5032_2P,2,TXC Corp,Extended,SMD Crystal Resonators 8MHz ㊣30ppm SMD-5032_2P RoHS,https://datasheet.lcsc.com/szlcsc/TXC-Corp-AA0802LCSC-AHV2G_C111903.pdf,1-9:0.576377953,30-99:0.411023622,2000-3999:0.333858268,4000-:0.332283465,500-999:0.343307087,10-29:0.480314961,100-499:0.352755906,1000-1999:0.338582677,6,
C11220,Crystals,Radial Cylinder Crystals,X30804MSD2SC,OSC-TH,2,Yangxing Tech,Extended,4MHz ㊣20ppm 20pF Radial,3x8mm Radial Cylinder Crystals RoHS,https://datasheet.lcsc.com/lcsc/1810161220_Yangxing-Tech-X30804MSD2SC_C11220.pdf,5-45:0.140000000,50-145:0.116062992,150-495:0.098740157,500-2495:0.084409449,2500-4995:0.082047244,5000-:0.080787402,0,
C11229,Crystals,DIP Crystal Resonators,X49UD2MSD2SC,HC-49U,2,Yangxing Tech,Extended,2MHz ㊣20ppm 20pF HC-49U DIP Crystal Resonators RoHS,https://datasheet.lcsc.com/szlcsc/1810171116_Yangxing-Tech-X49UD2MSD2SC_C11229.pdf,1-9:0.350078740,10-29:0.290236220,30-99:0.246929134,100-499:0.211181102,500-999:0.205039370,1000-:0.202047244,0,
C112659,Crystals,SMD Crystal Resonators,7A08000010,SMD-5032_2P,2,TXC Corp,Extended,8MHz ㊣25ppm 10pF 100次 SMD-5032_2P SMD Crystal Resonators RoHS,https://datasheet.lcsc.com/lcsc/1810010329_TXC-Corp-7A08000010_C112659.pdf,1-9:0.283464567,30-99:0.187874016,2000-3999:0.144094488,10-29:0.228031496,100-499:0.154645669,1000-1999:0.146141732,500-999:0.148976378,4000-:0.142677165,0,
C112970,Crystals,SMD Oscillators(XO),O705050MEEA4SC 50MHZ㊣25PPM,SMD-7050_4P,4,Yangxing Tech,Extended,50MHz ㊣25ppm 3.3V 40mA SMD-7050_4P SMD Oscillators(XO) RoHS,https://datasheet.lcsc.com/lcsc/1809021111_Yangxing-Tech-O705050MEEA4SC-50MHZ-25PPM_C112970.pdf,1-9:0.653543307,10-29:0.496062992,30-99:0.466141732,100-499:0.437795276,500-999:0.425196850,1000-1999:0.418897638,2000-3999:0.414173228,4000-:0.411023622,13,
C113768,Crystals,SMD Oscillators(XO),O705032768MEDA4SI,SMD-7050_4P,4,Yangxing Tech,Extended,32.768MHz ㊣20ppm 3.3V 20mA SMD-7050_4P SMD Oscillators(XO) RoHS,https://datasheet.lcsc.com/lcsc/1810171115_Yangxing-Tech-O705032768MEDA4SI_C113768.pdf,1-9:0.650393701,10-29:0.492913386,30-99:0.464566929,100-499:0.434645669,1000-1999:0.415748031,500-999:0.422047244,4000-:0.407874016,2000-3999:0.411023622,0,
C114436,Crystals,SMD Crystal Resonators,X503212MSD2GI,SMD-5032_2P,2,Yangxing Tech,Extended,12MHz ㊣20ppm 20pF 40次 ~ 60次 SMD-5032_2P SMD Crystal Resonators RoHS,https://datasheet.lcsc.com/lcsc/2103291135_Yangxing-Tech-X503212MSD2GI_C114436.pdf,1-9:0.213543307,10-29:0.175118110,30-99:0.147244094,100-499:0.124251969,500-999:0.120314961,1000-:0.118425197,13,
C115496,Crystals,DIP Crystal Resonators,E49A4E000000EE10C0,HC-49S,2,Hosonic Elec,Extended,4MHz ㊣20ppm 20pF HC-49S DIP Crystal Resonators RoHS,https://datasheet.lcsc.com/szlcsc/1806142030_Hosonic-Elec-E49A4E000000EE10C0_C115496.pdf,50-145:0.109291339,500-2495:0.079212598,20000-:0.074330709,2500-4995:0.077007874,10000-19995:0.074960630,5-45:0.131968504,150-495:0.092755906,5000-9995:0.075748031,0,
