C107844,Driver ICs,LED Drivers,LT3478EFE#PBF,HTSSOP-16_EP_4.4x5.0x0.65P,16,Linear Tech,Extended,LED Drivers TSSOP-16 RoHS,https://datasheet.lcsc.com/szlcsc/Linear-Tech-LT3478EFE-PBF_C107844.pdf,1-9:4.472440945,10-29:3.963779528,30-99:3.883464567,104-499:3.762204724,500-999:3.675590551,102-103:3.762204724,1000-:3.675590551,100-101:3.762204724,0,
C108167,Driver ICs,LED Drivers,SGM3752YTN6G/TR,TSOT-23-6,6,SGMICRO,Extended,TSOT-23-6 LED Drivers RoHS, ,1-9:0.169653543,14-15:0.131338583,30-99:0.093385827,10-13:0.131338583,20-28:0.131338583,29-29:0.131338583,100-:0.083464567,16-19:0.131338583,0,
C110143,Driver ICs,LCD Drivers,HT16K23,SOP-28_7.5x17.9x1.27P,28,Holtek Semicon,Extended,LCD Drivers SOP-28_300mil RoHS,https://datasheet.lcsc.com/szlcsc/Holtek-Semicon-HT16K23_C110143.pdf,10-29:0.612598425,100-499:0.440944882,500-999:0.426771654,2000-3999:0.415748031,1-9:0.741732283,30-99:0.518110236,1000-1999:0.420472441,4000-:0.412598425,0,
C111017,Driver ICs,LED Drivers,MP2481DH-LF-Z,MSOP-8_3.0x3.0x0.65P,8,Monolithic Power Systems,Extended,MSOP-8 LED Drivers RoHS, ,1-9:0.921259843,10-29:0.762204724,30-99:0.645669291,100-499:0.549606299,500-999:0.532283465,1000-1999:0.524409449,2000-3999:0.518110236,4000-:0.514960630,0,
C11176,Driver ICs,Motor Drivers,BD6384EFV,SSOP-40_EP_5.4x13.6x0.65P,40,ROHM Semicon,Extended,HTSSOP-B40 Motor Drivers RoHS,https://datasheet.lcsc.com/lcsc/1809141815_ROHM-Semicon-BD6384EFV_C11176.pdf,1-9:2.908661417,10-29:2.352755906,30-99:1.951181102,100-499:1.618897638,500-999:1.562204724,1000-1999:1.533858268,2000-3999:1.513385827,4000-:1.499212598,0,
C114137,Driver ICs,Motor Drivers,MP6507GM-Z,HTSSOP-16_EP_4.4x5.0x0.65P,16,Monolithic Power Systems,Extended,TSSOP-16 Motor Drivers RoHS, ,1-9:0.555905512,10-29:0.458267717,30-99:0.387401575,100-499:0.329133858,500-999:0.319685039,1000-1999:0.314960630,2000-3999:0.310236220,4000-:0.308661417,0,
C114138,Driver ICs,Motor Drivers,MP6513GJ-Z,TSOT-23-6,6,Monolithic Power Systems,Extended,TSOT-23-6 Motor Drivers RoHS, ,1-9:0.577952756,10-29:0.478740157,30-99:0.406299213,100-499:0.346456693,500-999:0.337007874,1000-1999:0.332283465,2000-3999:0.327559055,4000-:0.325984252,15,
C114139,Driver ICs,Motor Drivers,MP6515GF-Z,HTSSOP-16_EP_4.4x5.0x0.65P,16,Monolithic Power Systems,Extended,TSSOP-16 Motor Drivers RoHS, ,1-9:0.667716535,10-29:0.549606299,30-99:0.464566929,100-499:0.393700787,500-999:0.381102362,1000-1999:0.376377953,2000-3999:0.371653543,4000-:0.368503937,146,
C114320,Driver ICs,LED Drivers,FP7176DR-G1,SOP-8_3.9x4.9x1.27P,8,Feeling Tech,Extended,SOP-8_150mil LED Drivers RoHS,https://datasheet.lcsc.com/lcsc/1806111834_Feeling-Tech-FP7176DR-G1_C114320.pdf,10-29:0.242519685,100-499:0.175905512,1000-1999:0.168173228,1-9:0.292913386,30-99:0.205984252,2000-3999:0.166283465,4000-:0.165023622,500-999:0.170708661,0,
C115186,Driver ICs,Driver ICs,MX2003,SOP-16_3.9x10.1x1.27P,16,Sinotech Mixic Elec,Extended,Driver ICs SOP-16_150mil RoHS,https://datasheet.lcsc.com/szlcsc/Sinotech-Mixic-Elec-MX2003_C115186.pdf,5-45:0.128503937,150-495:0.090551181,10000-19995:0.073228346,50-145:0.106456693,500-2495:0.077322835,5000-9995:0.074015748,20000-:0.072598425,2500-4995:0.075118110,0,
C116578,Driver ICs,Driver ICs,SGM3732YTN6G/TR,TSOT-23-6,6,SGMICRO,Extended,TSOT-23-6 Driver ICs RoHS,https://datasheet.lcsc.com/lcsc/1809291528_SGMICRO-SGM3732YTN6G-TR_C116578.pdf,5-45:0.259842520,50-65:0.201574803,70-75:0.201574803,80-95:0.201574803,100-140:0.201574803,145-145:0.201574803,150-495:0.077165354,500-:0.069291339,1937,
C116900,Driver ICs,LED Drivers,CP2123ST-A2,SOT-23-6L,6,Chiphom,Extended,DC DCConverter Step-Up (Boost) Yes 2.7V 5.5V SOT-23-6 LED Drivers RoHS,https://datasheet.lcsc.com/lcsc/1804170531_Chiphom-CP2123ST-A2_C116900.pdf,10-29:0.111811024,100-499:0.077637795,1000-1999:0.073700787,4000-:0.072125984,1-9:0.137637795,30-99:0.093070866,2000-3999:0.072755906,500-999:0.075118110,0,
C126159,Driver ICs,LED Drivers,PT4115BSOH,SOP-8_EP_3.9x4.9x1.27P,8,PowTech(CR-PowTech(Shanghai)),Extended,SOP-8_EP_150mil LED Drivers RoHS,https://datasheet.lcsc.com/lcsc/1804162310_PowTech-CR-PowTech-Shanghai-PT4115BSOH_C126159.pdf,1-9:0.390551181,10-29:0.321259843,30-99:0.270866142,100-499:0.229921260,500-999:0.222047244,1000-1999:0.218897638,2000-3999:0.217322835,4000-:0.214173228,0,
C126162,Driver ICs,LED Drivers,PT4240AESOG,SOP-7_3.9x4.9x1.27P,7,PowTech(CR-PowTech(Shanghai)),Extended,SOP-7 LED Drivers RoHS,https://datasheet.lcsc.com/lcsc/1804162131_PowTech-CR-PowTech-Shanghai-PT4240AESOG_C126162.pdf,1-9:0.165984252,30-99:0.111653543,1000-1999:0.088031496,2000-3999:0.086771654,10-29:0.134488189,100-499:0.092755906,4000-:0.085984252,500-999:0.089606299,0,
C126164,Driver ICs,LED Drivers,PT4515CETOW,TO-252-2,3,PowTech(CR-PowTech(Shanghai)),Extended,TO-252-2(DPAK) LED Drivers RoHS,https://datasheet.lcsc.com/lcsc/1806051222_PowTech-CR-PowTech-Shanghai-PT4515CETOW_C126164.pdf,2500-4995:0.046456693,5-45:0.081574803,150-495:0.056535433,10000-19995:0.045039370,20000-:0.044724409,50-145:0.067086614,500-2495:0.047874016,5000-9995:0.045669291,0,
C126166,Driver ICs,LED Drivers,PT4516EESH,SOP-8_EP_3.9x4.9x1.27P,8,PowTech(CR-PowTech(Shanghai)),Extended,SOP-8_EP_150mil LED Drivers RoHS,https://datasheet.lcsc.com/lcsc/1804162131_PowTech-CR-PowTech-Shanghai-PT4516EESH_C126166.pdf,20000-:0.046456693,50-145:0.072598425,500-2495:0.050078740,5000-9995:0.047559055,2500-4995:0.048346457,5-45:0.089606299,150-495:0.060314961,10000-19995:0.046929134,0,
C126206,Driver ICs,Motor Drivers,FMRX2BMS,SOP-16_3.9x10.1x1.27P,16,Shenzhen Fuman Elec,Extended,SOP-16 Motor Drivers RoHS,https://datasheet.lcsc.com/lcsc/2010160934_Shenzhen-Fuman-Elec-FMRX2BMS_C126206.pdf,30-99:0.114015748,2000-3999:0.089133858,500-999:0.091968504,4000-:0.088346457,1-9:0.168330709,10-29:0.136850394,100-499:0.095118110,1000-1999:0.090393701,0,
C126718,Driver ICs,LED Drivers,CS5817A,SOP-28_7.5x17.9x1.27P,28,CHIPSEA,Extended,LED Drivers SOP-28_300mil RoHS,https://datasheet.lcsc.com/szlcsc/CHIPSEA-CS5817A_C126718.pdf,1-9:0.707086614,10-29:0.581102362,30-99:0.489763780,100-499:0.415748031,500-999:0.401574803,1000-1999:0.395275591,2000-3999:0.390551181,4000-:0.387401575,0,
C128009,Driver ICs,LED Drivers,JXI5020GFN-B,QFN-24_EP_4.0x4.0x0.5P,24,MBI,Extended,QFN-24 LED Drivers RoHS,https://datasheet.lcsc.com/lcsc/1809192231_MBI-JXI5020GFN-B_C128009.pdf,5-45:0.141259843,50-145:0.116062992,500-2495:0.082677165,5000-9995:0.078897638,150-495:0.097795276,10000-19995:0.077952756,2500-4995:0.080157480,20000-:0.077322835,0,
C128218,Driver ICs,LED Drivers,MP24833GN-Z,SOIC-8,9,Monolithic Power Systems,Extended,SOIC-8_EP_150mil LED Drivers RoHS, ,1-9:1.083464567,10-29:0.891338583,30-99:0.751181102,100-499:0.634645669,500-999:0.615748031,1000-1999:0.606299213,2000-3999:0.598425197,4000-:0.593700787,0,
