C1021798,IoT/Communication Modules,Bluetooth Modules,GR5513BEND,QFN-40,41,Goodix Technology,Extended,QFN-40 Bluetooth Modules ROHS,https://datasheet.lcsc.com/lcsc/2101051103_Goodix-Technology-GR5513BEND_C1021798.pdf,1-9:2.447244094,10-29:2.014173228,30-99:1.700787402,100-499:1.442519685,500-999:1.398425197,1000-:1.376377953,1765,
C105438,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM7600CE,GSM-SMD,87,SIMCom Wireless Solutions,Extended,LCC 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1810151809_SIMCom-Wireless-Solutions-SIM7600CE_C105438.pdf,1-9:33.577952756,10-29:32.656692913,100-499:32.656692913,30-99:32.656692913,500-999:32.656692913,1000-:32.656692913,0,
C108540,IoT/Communication Modules,ZigBee Modules,E18-MS1-IPX,WIRELM-TH,24,Chengdu Ebyte Elec Tech,Extended,SMD ZigBee Modules ROHS,https://datasheet.lcsc.com/lcsc/1805290129_Chengdu-Ebyte-Elec-Tech-E18-MS1-IPX_C108540.pdf,1-9:6.231496063,10-29:5.192125984,30-99:4.437795276,100-499:3.817322835,500-999:3.710236220,1000-:3.658267717,0,
C108544,IoT/Communication Modules,RF Modules,E01-ML01SP2,WIRELM-SMD,10,Chengdu Ebyte Elec Tech,Extended,SMD RF Modules ROHS,https://datasheet.lcsc.com/lcsc/1804162217_Chengdu-Ebyte-Elec-Tech-E01-ML01SP2_C108544.pdf,1-9:3.250393701,10-29:3.200000000,30-99:3.200000000,100-499:3.200000000,500-999:3.200000000,1000-:3.200000000,0,
C108546,IoT/Communication Modules,RF Modules,E01-ML01S,WIRELM-SMD,8,Chengdu Ebyte Elec Tech,Extended,SMD RF Modules ROHS,https://datasheet.lcsc.com/lcsc/1808272201_Chengdu-Ebyte-Elec-Tech-E01-ML01S_C108546.pdf,1-9:2.062992126,10-29:2.033070866,30-99:2.033070866,100-499:2.033070866,500-999:2.033070866,1000-:2.033070866,4,
C108549,IoT/Communication Modules,RF Modules,E07-M1101D-TH,WIRELM-TH_E07-M1101D-TH,10,Chengdu Ebyte Elec Tech,Extended,DIP RF Modules ROHS,https://datasheet.lcsc.com/lcsc/1805301834_Chengdu-Ebyte-Elec-Tech-E07-M1101D-TH_C108549.pdf,1-9:3.311811024,10-29:3.261417323,30-99:3.261417323,100-499:3.261417323,500-999:3.261417323,1000-:3.261417323,0,
C108551,IoT/Communication Modules,ZigBee Modules,E18-MS1PA1-IPX,QFN-24_16.05x22.55x1.27P,24,Chengdu Ebyte Elec Tech,Extended,SMD ZigBee Modules ROHS,https://datasheet.lcsc.com/lcsc/1809101824_Chengdu-Ebyte-Elec-Tech-E18-MS1PA1-IPX_C108551.pdf,1-9:7.269291339,10-29:5.880314961,30-99:4.874015748,100-499:4.044094488,500-999:3.902362205,1000-:3.833070866,208,
C108558,IoT/Communication Modules,WiFi Modules,E103-W02,WIRELM-SMD,44,Chengdu Ebyte Elec Tech,Extended,SMD WiFi Modules ROHS,https://datasheet.lcsc.com/lcsc/1809281529_Chengdu-Ebyte-Elec-Tech-E103-W02_C108558.pdf,1-9:15.414173228,10-29:15.085039370,30-99:15.085039370,100-499:15.085039370,500-999:15.085039370,1000-:15.085039370,39,
C108570,IoT/Communication Modules,RF Modules,E23-433M13S,WIRELM-SMD,17,Chengdu Ebyte Elec Tech,Extended,SMD RF Modules ROHS,https://datasheet.lcsc.com/lcsc/1806051718_Chengdu-Ebyte-Elec-Tech-E23-433M13S_C108570.pdf,1-9:3.439370079,10-29:3.387401575,30-99:3.387401575,100-499:3.387401575,500-999:3.387401575,1000-:3.387401575,12,
C110089,IoT/Communication Modules,RS485 Bus Modules,RSM485CT,COMM-TH_RSM485CT,8,ZLG Zhiyuan Elec,Extended,DIP-10 RS485 Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1811011120_ZLG-Zhiyuan-Elec-RSM485CT_C110089.pdf,1-9:8.440944882,10-29:6.985826772,30-99:5.929133858,100-499:5.059842520,500-999:4.911811024,1000-:4.837795276,3,
C114847,IoT/Communication Modules,2G/3G/4G/5G Modules,MC20CA-04-STD,GSM-SMD,68,Quectel,Extended,LCC-68 2G/3G/4G/5G Modules ROHS, ,500-999:7.044094488,1000-:7.044094488,1-9:7.212598425,10-29:7.044094488,30-99:7.044094488,100-499:7.044094488,2,
C114999,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM7000C,GSM-SMD,68,SIMCom Wireless Solutions,Extended,Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1809291527_SIMCom-Wireless-Solutions-SIM7000C_C114999.pdf,1-9:21.092913386,10-29:20.629921260,30-99:20.629921260,100-499:20.629921260,500-999:20.629921260,1000-:20.629921260,4,
C115089,IoT/Communication Modules,WiFi Modules,ATWINC1500-MR210UB,WIRELM-SMD,29,Microchip Tech,Extended,- WiFi Modules ROHS,https://datasheet.lcsc.com/lcsc/1809051043_Microchip-Tech-ATWINC1500-MR210UB_C115089.pdf,500-999:21.346456693,1000-:21.346456693,1-9:21.855118110,10-29:21.346456693,30-99:21.346456693,100-499:21.346456693,0,
C115280,IoT/Communication Modules,2G/3G/4G/5G Modules,BC95-B8,NB-IOT Module,94,Quectel,Extended,NB-IOT Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1811091614_Quectel-BC95-B8_C115280.pdf,500-999:7.713385827,1-9:7.910236220,10-29:7.713385827,30-99:7.713385827,100-499:7.713385827,1000-:7.713385827,0,
