C10005,Memory,SRAM,IS62WV1288BLL-55HL,STSOP-32,10,ISSI(Integrated Silicon Solution),Extended,2.5V ~ 3.6V Volatile Parallel 1Mb (128K x 8) STSOP-32 SRAM ROHS,https://datasheet.lcsc.com/lcsc/1807301213_ISSI-Integrated-Silicon-Solution-IS62WV1288BLL-55HL_C10005.pdf,1-9:3.496062992,10-29:3.059842520,30-99:2.979527559,1000-:2.820472441,500-999:2.864566929,100-499:2.900787402,0,
C10010,Memory,SRAM,EM639165TS-6G,TSOP-54,54,Etron Tech,Extended,TSOP-54 SRAM ROHS, ,1-9:1.296062992,10-29:1.045669291,30-99:0.864566929,100-499:0.716535433,2000-3999:0.667716535,1000-1999:0.677165354,500-999:0.689763780,4000-:0.662992126,0,
C10011,Memory,NOR FLASH,EN25F40-100GCP,SOIC-8_3.9x4.9x1.27P,8,Eon Silicon Solution,Extended,4Mb (512K x 8) SPI FLASH Non-Volatile SOIC-8_150mil NOR FLASH ROHS,https://datasheet.lcsc.com/lcsc/1804240010_Eon-Silicon-Solution-EN25F40-100GCP_C10011.pdf,1-9:0.261417323,10-29:0.192125984,30-99:0.179527559,100-499:0.166929134,500-999:0.160629921,1000-1999:0.159055118,2000-3999:0.155905512,4000-:0.155905512,0,
C10025,Memory,NOR FLASH,SST25VF010A-33-4C-SAE,SOIC-8_3.9x4.9x1.27P,8,Microchip Tech,Extended,1Mb (128K x 8) SPI FLASH Non-Volatile SOIC-8_150mil NOR FLASH ROHS,https://datasheet.lcsc.com/lcsc/1806150919_Microchip-Tech-SST25VF010A-33-4C-SAE_C10025.pdf,2000-3999:1.125984252,4000-:1.118110236,500-999:1.155905512,1-9:1.959055118,10-29:1.628346457,30-99:1.387401575,100-499:1.188976378,1000-1999:1.138582677,590,
C10026,Memory,FRAM,FM24W256-EG,SOIC-8,8,Cypress Semicon,Extended,SOIC-8_39MM FRAM ROHS,https://datasheet.lcsc.com/lcsc/2002250531_Cypress-Semicon-FM24W256-EG_C10026.pdf,1-9:3.201574803,10-29:2.733858268,30-99:2.647244094,500-999:2.524409449,100-499:2.562204724,1000-1999:2.477165354,4000-:2.417322835,2000-3999:2.440944882,0,
C10047,Memory,FLASH,EPCS16SI16N,SOIC-16_7.5x10.3x1.27P,16,Altera,Extended,Non-Volatile FLASH 16Mb (512K x 32) SOIC-16_300mil FLASH RoHS,https://datasheet.lcsc.com/lcsc/1808132010_Altera-EPCS16SI16N_C10047.pdf,1-9:9.897637795,10-29:9.897637795,30-31:9.587401575,32-33:9.587401575,34-35:9.587401575,36-99:9.587401575,100-999:9.488188976,1000-:9.488188976,0,
C1021789,Memory,NOR FLASH,W25Q32JWZPIQ TR,WSON-8,8,Winbond Elec,Extended,WSON-8 NOR FLASH ROHS,https://datasheet.lcsc.com/lcsc/2201131730_Winbond-Elec-W25Q32JWZPIQ-TR_C1021789.pdf,1-9:0.631496063,10-29:0.508661417,30-99:0.418897638,100-499:0.344881890,500-999:0.332283465,1000-:0.327559055,0,
C10510,Memory,EEPROM,K24C02,SOIC-8,8,Hua Hong NEC,Extended,1.7V ~ 5.5V I2C 2Kb (256 x 8) SOIC-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1809141421_Hua-Hong-NEC-K24C02_C10510.pdf,5-45:0.080629921,50-145:0.066771654,150-495:0.056692913,500-2495:0.048503937,2500-4995:0.047086614,5000-9995:0.046299213,10000-19995:0.045826772,20000-:0.045511811,0,
C10511,Memory,EEPROM,K24C08-SIRXA,SOIC-8_3.9x4.9x1.27P,8,Hua Hong NEC,Extended,1.7V ~ 5.5V I2C 8Kb (1K x 8) SOP-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1810110910_Hua-Hong-NEC-K24C08-SIRXA_C10511.pdf,5-45:0.109291339,150-495:0.083149606,500-2495:0.074173228,5000-9995:0.071811024,2500-4995:0.072598425,10000-19995:0.071338583,50-145:0.094173228,20000-:0.070866142,48,
C10512,Memory,EEPROM,K24C04,SOIC-8,8,Hua Hong NEC,Extended,1.8V ~ 5.5V I2C 4Kb (512 x 8) SOIC-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1811091511_Hua-Hong-NEC-K24C04_C10512.pdf,5-45:0.090236220,50-145:0.076377953,150-495:0.066299213,500-2495:0.057952756,2500-4995:0.056535433,5000-9995:0.055905512,10000-19995:0.055433071,20000-:0.054960630,4,
C10513,Memory,EEPROM,K24C16,SOIC-8,8,LCSC,Extended,1.8V ~ 5.5V I2C 16Kb (2K x 8) SOIC-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1809140814_LCSC-K24C16_C10513.pdf,2500-:0.065196850,150-495:0.071181102,5-45:0.096377953,500-2495:0.067086614,50-145:0.074960630,0,
C10514,Memory,EEPROM,K24C64-TIRXA,SOP-8_3.9x4.9x1.27P,8,Hua Hong NEC,Extended,1.8V ~ 5.5V I2C 64Kb (8K x 8) TSSOP-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1811091410_Hua-Hong-NEC-K24C64-TIRXA_C10514.pdf,2500-4995:0.073070866,20000-:0.070551181,5-45:0.126614173,150-495:0.088503937,10000-19995:0.071181102,50-145:0.104566929,500-2495:0.075275591,5000-9995:0.071968504,0,
C10516,Memory,EEPROM,K24C256,SOIC-8_3.9x4.9x1.27P,8,LCSC,Extended,1.8V ~ 5.5V I2C 256Kb (32K x 8) SOIC-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1809140814_LCSC-K24C256_C10516.pdf,1-9:0.190551181,10-29:0.143307087,30-99:0.133858268,100-499:0.125984252,500-1999:0.121259843,2000-4999:0.119685039,5000-9999:0.118110236,10000-:0.118110236,0,
C10518,Memory,EEPROM,K24C02,DIP-8_L9.7-W6.4-P2.54-LS7.6-BL,8,Hua Hong NEC,Extended,1.8V ~ 5.5V I2C 2Kb (256 x 8) DIP-8 EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1811091410_Hua-Hong-NEC-K24C02_C10518.pdf,5-45:0.100314961,50-145:0.082677165,150-495:0.069921260,500-2495:0.059370079,2500-4995:0.057637795,5000-9995:0.056692913,10000-19995:0.056062992,20000-:0.055590551,0,
C10519,Memory,EEPROM,K24C08C-DITGA,DIP-8,8,Hua Hong NEC,Extended,1.8V ~ 5.5V I2C 8Kb (1K x 8) DIP-8 EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1809140814_Hua-Hong-NEC-K24C08C-DITGA_C10519.pdf,5-45:0.108503937,50-145:0.089606299,150-495:0.075905512,500-2495:0.064566929,2500-4995:0.062677165,5000-9995:0.061732283,10000-19995:0.060944882,20000-:0.060472441,0,
C106262,Memory,NOR FLASH,MX25L8006EM1I-12G,2512,2,MXIC(Macronix),Extended,8Mb (1M x 8) SPI FLASH Non-Volatile SOP-8_150mil NOR FLASH ROHS,https://datasheet.lcsc.com/lcsc/1810190911_MXIC-Macronix-MX25L8006EM1I-12G_C106262.pdf,1-9:0.549606299,10-29:0.445669291,30-99:0.370078740,100-499:0.307086614,500-999:0.297637795,1000-:0.291338583,2500,
C108951,Memory,SDRAM,IS42S32400F-6TLI,TSOP-86_10.2x22.2x0.5P,86,ISSI(Integrated Silicon Solution),Extended,Volatile 3V ~ 3.6V Parallel 128Mb (4M x 32) TSOP-86 SDRAM ROHS,https://datasheet.lcsc.com/lcsc/1810010731_ISSI-Integrated-Silicon-Solution-IS42S32400F-6TLI_C108951.pdf,10-29:3.507086614,100-499:2.554330709,1000-1999:2.444094488,4000-:2.400000000,1-9:4.228346457,30-99:2.985826772,2000-3999:2.417322835,500-999:2.480314961,2,
C110276,Memory,EEPROM,BL24C256A-SFRC,TSSOP-8_3.0x4.4x0.65P,8,BL(Shanghai Belling),Extended,1.7V ~ 5.5V I2C 256Kb (32K x 8) TSSOP-8(3x4.4x0.65£© EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1811151428_BL-Shanghai-Belling-BL24C256A-SFRC_C110276.pdf,1-9:0.245669291,10-29:0.200472441,30-99:0.167685039,100-499:0.140629921,500-999:0.136062992,1000-1999:0.133700787,2000-3999:0.131968504,4000-:0.130866142,282,
C110895,Memory,NAND FLASH,MT29F2G08ABAEAWP:E,TSOP-48_12.0x18.4x0.5P,48,Micron Tech,Extended,Non-Volatile Parallel 2Gb (256M x 8) FLASH TSOP-48 NAND FLASH ROHS,https://datasheet.lcsc.com/lcsc/1811032117_Micron-Tech-MT29F2G08ABAEAWP-E_C110895.pdf,1-9:3.875590551,10-29:3.376377953,30-99:2.971653543,100-499:2.535433071,500-999:2.440944882,1000-:2.425196850,5635,
C110896,Memory,FLASH,MT29F2G08ABAEAWP-IT:E,TSOP-48_12.0x18.4x0.5P,48,Micron Tech,Extended,FLASH FLASH 2Gb (256M x 8) Parallel TSOP-48 RoHS,https://datasheet.lcsc.com/szlcsc/Micron-Tech-MT29F2G08ABAEAWP-IT-E_C110896.pdf,102-103:2.228346457,10-29:2.351181102,100-101:2.228346457,1000-:2.176377953,1-9:2.662992126,30-99:2.302362205,104-499:2.228346457,500-999:2.176377953,0,
C111004,Memory,EEPROM,BL24C64A-SFRC,TSSOP-8_3.0x4.4x0.65P,8,BL(Shanghai Belling),Extended,1.7V ~ 5.5V I2C 64Kb (8K x 8) TSSOP-8(3x4.4x0.65£© EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1811151657_BL-Shanghai-Belling-BL24C64A-SFRC_C111004.pdf,5-45:0.141889764,50-145:0.119055118,150-495:0.102519685,500-2495:0.088976378,2500-4995:0.086614173,5000-9995:0.085511811,10000-19995:0.084566929,20000-:0.084094488,5081,
C111166,Memory,EEPROM,M95M01-RMN6TP,SOIC-8_3.9x4.9x1.27P,8,STMicroelectronics,Extended,1.8V ~ 5.5V SPI 1Mb (128K x 8) SOIC-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1809051921_STMicroelectronics-M95M01-RMN6TP_C111166.pdf,1-9:1.064566929,10-29:0.891338583,30-99:0.766929134,100-499:0.662992126,500-999:0.645669291,1000-:0.636220472,11,
C111332,Memory,EEPROM,BL24C512A-PARC,SOP-8_3.9x4.9x1.27P,8,BL(Shanghai Belling),Extended,1.7V ~ 5.5V I2C 512Kb (64K x 8) SOP-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1811151311_BL-Shanghai-Belling-BL24C512A-PARC_C111332.pdf,1-9:0.475590551,10-29:0.400000000,30-99:0.346456693,100-499:0.302362205,500-999:0.294488189,1000-1999:0.289763780,2000-3999:0.288188976,4000-:0.285039370,12944,
