C106898,Optocouplers & LEDs & Infrared,Optocouplers,EL817S(D)(TU)-F,SMD-4_4.6x6.5x2.54P,4,Everlight Elec,Extended,Transistor Output Optocouplers 1 5000Vrms SMD-4 Optocouplers RoHS,https://datasheet.lcsc.com/lcsc/1809192116_Everlight-Elec-EL817S-D-TU-F_C106898.pdf,100-290:0.052755906,1000-4990:0.038740157,10000-19990:0.037165354,40000-:0.036535433,10-90:0.063307087,300-990:0.045196850,20000-39990:0.036850394,5000-9990:0.037637795,0,
C106899,Optocouplers & LEDs & Infrared,Optocouplers,EL817S(A)(TU)-F,SMD-4_4.6x6.5x2.54P,4,Everlight Elec,Extended,TransistorOptocouplers 1 5000Vrms SMD-4 Optocouplers RoHS,https://datasheet.lcsc.com/lcsc/1810010213_Everlight-Elec-EL817S-A-TU-F_C106899.pdf,100-290:0.049291339,1000-4990:0.033858268,40000-:0.031338583,10-90:0.061102362,300-990:0.040787402,10000-19990:0.031968504,5000-9990:0.032598425,20000-39990:0.031653543,0,
C10781,Optocouplers & LEDs & Infrared,Light Emitting Diodes (LED),XL-1206QPC,LED_1206,2,Made in China,Extended,1206 Light Emitting Diodes (LED) RoHS, ,20000-:0.071968504,5-45:0.123937008,50-145:0.090078740,150-495:0.083937008,500-2495:0.077795276,5000-9995:0.073543307,2500-4995:0.074960630,10000-19995:0.072598425,0,
C108147,Optocouplers & LEDs & Infrared,Optocouplers,PC817X4NSZ0F£¨D£©,DIP-4,4,Sharp Microelectronics,Extended,TransistorOptocouplers DC 1 5000Vrms DIP-4 Optocouplers RoHS,https://datasheet.lcsc.com/lcsc/1810120214_Sharp-Microelectronics-PC817X4NSZ0F-D_C108147.pdf,1-9:0.202519685,10-29:0.168173228,30-99:0.143307087,100-499:0.122834646,500-999:0.119212598,1000-:0.117480315,0,
C110020,Optocouplers & LEDs & Infrared,Optocouplers,6N137S1(TA),SMD-8_6.6x9.8x2.54P,8,Everlight Elec,Basic,Optocouplers SMD RoHS,https://datasheet.lcsc.com/szlcsc/1908282202_Everlight-Elec-6N137S1-TA_C110020.pdf,1-9:0.347086614,4000-:0.195275591,10-29:0.287244094,100-499:0.208031496,30-99:0.243779528,1000-1999:0.198897638,500-999:0.201889764,2000-3999:0.196692913,46963,
C110223,Optocouplers & LEDs & Infrared,Optocouplers,ELM453(TA)-V,SOP-5_4.1x4.4x1.27P,5,Everlight Elec,Extended,Optocouplers SOP-5 RoHS,https://datasheet.lcsc.com/szlcsc/1903081706_Everlight-Elec-ELM453-TA-V_C110223.pdf,1-9:0.592125984,10-29:0.481889764,30-99:0.403149606,100-499:0.337007874,500-999:0.325984252,1000-1999:0.319685039,2000-3999:0.314960630,4000-:0.313385827,858,
C112400,Optocouplers & LEDs & Infrared,Infrared Receivers,PT26-21BTR8,LED-SMD,2,Everlight Elec,Extended,20mA 50nA 880nm 730nm~1100nm 30V SMD Infrared Receivers RoHS,https://datasheet.lcsc.com/lcsc/1811071820_Everlight-Elec-PT26-21BTR8_C112400.pdf,500-2495:0.045354331,2500-4995:0.043937008,5000-9995:0.043307087,10000-19995:0.042834646,20000-:0.042519685,5-45:0.069133858,50-145:0.051811024,150-495:0.048661417,0,
C113451,Optocouplers & LEDs & Infrared,Light Emitting Diodes (LED),LTST-C19HE1WT,LED-4_1.6x1.6x0.9P,4,Lite-On,Extended,RGB 624nmRed,525nmGreen,470nmBlue 1.6*1.6mm Light Emitting Diodes (LED) RoHS,https://datasheet.lcsc.com/szlcsc/1810231513_Lite-On-LTST-C19HE1WT_C113451.pdf,50-145:0.046614173,500-2495:0.040157480,5000-9995:0.037952756,5-45:0.064566929,150-495:0.043464567,10000-19995:0.037322835,2500-4995:0.038582677,20000-:0.037007874,0,
C117586,Optocouplers & LEDs & Infrared,Optocouplers,BPC-817,DIP-4,4,BrtLed(Bright LED Elec),Extended,TransistorOptocouplers 1 5000Vrms DIP-4 Optocouplers RoHS,https://datasheet.lcsc.com/lcsc/1810100430_BrtLed-Bright-LED-Elec-BPC-817_C117586.pdf,100-290:0.051811024,1000-4990:0.038740157,10-90:0.061732283,300-990:0.044724409,10000-19990:0.037322835,40000-:0.036692913,5000-9990:0.037795276,20000-39990:0.036850394,9,
C122576,Optocouplers & LEDs & Infrared,Solid State Relays,AQV258A,SMD-6,6,PANASONIC,Extended,SPST-NO (1 Form A) AC, DC 500 Ohms SMD-6 Solid State Relays RoHS,https://datasheet.lcsc.com/lcsc/2009082304_PANASONIC-AQV258A_C122576.pdf,1-9:4.666141732,10-29:4.129133858,30-99:4.044094488,102-103:3.918110236,100-101:3.918110236,104-:3.918110236,0,
