C113482,Pushbutton Switches & Relays,DIP Switches,NDS-04V,SW-TH_8P-L11.8-W9.9-P2.54-LS7.6,8,Diptronics,Extended,SPST 4 2.54mm, Full Slide (Standard) Red Through Hole DIP Switches RoHS,https://datasheet.lcsc.com/szlcsc/1809291514_Diptronics-NDS-04V_C113482.pdf,500-999:0.266141732,4000-:0.256692913,2000-3999:0.258267717,1-9:0.407874016,30-99:0.291338583,10-29:0.310236220,100-499:0.274015748,1000-1999:0.261417323,0,
C113484,Pushbutton Switches & Relays,DIP Switches,NDS-05V,SW-TH_10P-L14.3-W9.9-P2.54-LS7.6,10,Diptronics,Extended,SPST 5 2.54mm, Full Slide (Standard) Red Through Hole DIP Switches RoHS,https://datasheet.lcsc.com/szlcsc/1810010323_Diptronics-NDS-05V_C113484.pdf,500-999:0.308661417,10-29:0.362204724,100-499:0.318110236,1000-1999:0.303937008,4000-:0.297637795,1-9:0.480314961,30-99:0.340157480,2000-3999:0.300787402,0,
C115081,Pushbutton Switches & Relays,Relays,HFE9-1/12DST,RELAY-TH,3,HF(Xiamen Hongfa Electroacoustic),Extended,SPST-NC 60A Latching, Single Coil 12VDC General Purpose Through Hole Relays ROHS,https://datasheet.lcsc.com/lcsc/1810010722_HF-Xiamen-Hongfa-Electroacoustic-HFE9-1-12DST_C115081.pdf,4000-:1.862992126,10-29:2.792125984,500-999:1.930708661,2000-3999:1.877165354,1-9:3.396850394,30-99:2.354330709,100-499:1.992125984,1000-1999:1.900787402,0,
C117488,Pushbutton Switches & Relays,Relays,HF49FD-012-1H12,RELAY-TH_HF49FD-0XX-1H12,4,HF(Xiamen Hongfa Electroacoustic),Extended,General Purpose Non Latching 12VDC SPST-NO Through Hole Relays RoHS,https://datasheet.lcsc.com/szlcsc/1810111635_HF-Xiamen-Hongfa-Electroacoustic-HF49FD-012-1H12_C117488.pdf,10-29:0.800000000,100-499:0.710236220,1000-1999:0.680314961,1-9:1.045669291,30-99:0.755905512,2000-3999:0.674015748,500-999:0.691338583,4000-:0.667716535,0,
C119032,Pushbutton Switches & Relays,Relays,HF42F/024-2HS,RELAYS-TH_HF42F_+_XX-2HSX_XXX,6,HF(Xiamen Hongfa Electroacoustic),Extended,DPST-NO 5A Non Latching 24VDC General Purpose Through Hole Relays ROHS,https://datasheet.lcsc.com/lcsc/1810111040_HF-Xiamen-Hongfa-Electroacoustic-HF42F-024-2HS_C119032.pdf,1-9:1.048818898,10-29:0.864566929,30-99:0.730708661,100-499:0.622047244,1000-1999:0.593700787,500-999:0.603149606,2000-3999:0.585826772,4000-:0.581102362,0,
C12248,Pushbutton Switches & Relays,Relays,HF33F/024-HS,RELAY-TH,4,HF(Xiamen Hongfa Electroacoustic),Extended,General Purpose Non Latching 24VDC SPST-NO Through Hole Relays RoHS,https://datasheet.lcsc.com/lcsc/1811040323_HF-Xiamen-Hongfa-Electroacoustic-HF33F-024-HS_C12248.pdf,1-9:0.779527559,30-99:0.543307087,2000-3999:0.436220472,10-29:0.642519685,100-499:0.461417323,1000-1999:0.440944882,4000-:0.433070866,500-999:0.448818898,0,
C124939,Pushbutton Switches & Relays,Tactile Switches,K6-1212A-03,SW-TH_K6-1212A-04,6,Korean Hroparts Elec,Extended,Top Actuated 50mA @ 12VDC Round Button SPST - Tactile Switches ROHS,https://datasheet.lcsc.com/lcsc/1809211410_Korean-Hroparts-Elec-K6-1212A-03_C124939.pdf,1-9:1.083464567,30-99:0.754330709,1000-1999:0.611023622,2000-3999:0.604724409,10-29:0.892913386,100-499:0.640944882,500-999:0.620472441,4000-:0.600000000,0,
C125158,Pushbutton Switches & Relays,DIP Switches,NDS-10V,SW-TH,20,Diptronics,Extended,SPST 10 2.54mm, Full Slide (Standard) Red Through Hole DIP Switches RoHS,https://datasheet.lcsc.com/lcsc/1809291617_Diptronics-NDS-10V_C125158.pdf,1-9:0.658267717,10-29:0.497637795,30-99:0.467716535,100-499:0.437795276,500-999:0.425196850,1000-1999:0.418897638,2000-3999:0.414173228,4000-:0.411023622,0,
C125683,Pushbutton Switches & Relays,Relays,AC5-S-DC5V,RELAYS-TH_AC5-X-XXX,4,Zhejiang HKE,Extended,General Purpose Non Latching 5VDC SPST-NO Through Hole Relays RoHS,https://datasheet.lcsc.com/szlcsc/1810171031_Zhejiang-HKE-AC5-S-DC5V_C125683.pdf,500-999:0.313385827,4000-:0.302362205,2000-3999:0.303937008,1-9:0.541732283,10-29:0.447244094,30-99:0.379527559,100-499:0.322834646,1000-1999:0.308661417,0,
C125685,Pushbutton Switches & Relays,Relays,AC5-S-DC24V,RELAYS-TH,4,Zhejiang HKE,Extended,General Purpose Non Latching 24VDC SPST-NO Through Hole Relays RoHS,https://datasheet.lcsc.com/lcsc/1809261611_Zhejiang-HKE-AC5-S-DC24V_C125685.pdf,4000-:0.316535433,500-999:0.329133858,2000-3999:0.319685039,10-29:0.472440945,100-499:0.338582677,1-9:0.573228346,30-99:0.398425197,1000-1999:0.322834646,0,
C125697,Pushbutton Switches & Relays,Relays,HCP2-S-DC5V-C,RELAY-TH,8,Zhejiang HKE,Extended,General Purpose Non Latching 5VDC DPDT Through Hole Relays RoHS,https://datasheet.lcsc.com/lcsc/1808301519_Zhejiang-HKE-HCP2-S-DC5V-C_C125697.pdf,10-29:1.264566929,100-499:0.905511811,1000-1999:0.864566929,4000-:0.847244094,500-999:0.878740157,1-9:1.535433071,30-99:1.067716535,2000-3999:0.853543307,0,
C128933,Pushbutton Switches & Relays,Multi-Directional Switches,K1-1203UA-01,KEY-SMD,9,Korean Hroparts Elec,Extended,SMD Multi-Directional Switches ROHS,https://datasheet.lcsc.com/lcsc/1809211417_Korean-Hroparts-Elec-K1-1203UA-01_C128933.pdf,1-9:2.200000000,10-29:2.143307087,30-99:2.143307087,100-499:2.143307087,500-999:2.143307087,1000-1999:2.143307087,2000-3999:2.143307087,4000-:2.143307087,0,
C128971,Pushbutton Switches & Relays,Light Switches,K6-6271D-02,SW-TH_K6-6271D-02,6,Korean Hroparts Elec,Extended,SPST-NO 50mA @ 12VDC Top Actuated Square Button Through Hole Light Switches RoHS,https://datasheet.lcsc.com/szlcsc/1809211417_Korean-Hroparts-Elec-K6-6271D-02_C128971.pdf,1-9:1.225196850,30-99:0.870866142,1000-1999:0.779527559,2000-3999:0.770078740,10-29:0.925984252,100-499:0.815748031,4000-:0.763779528,500-999:0.792125984,0,
C128972,Pushbutton Switches & Relays,Light Switches,K6-6270S-02,SW-TH,6,Korean Hroparts Elec,Extended,SPST-NO 50mA @ 12VDC Top Actuated SMD,P=2.54mm Light Switches RoHS,https://datasheet.lcsc.com/lcsc/1809212217_Korean-Hroparts-Elec-K6-6270S-02_C128972.pdf,2000-3999:0.434645669,4000-:0.431496063,1-9:0.697637795,10-29:0.524409449,30-99:0.492913386,100-499:0.461417323,500-999:0.447244094,1000-1999:0.439370079,0,
C128978,Pushbutton Switches & Relays,Tactile Switches,K6-1212A-04,SW-TH_K6-1212A-04,6,Korean Hroparts Elec,Extended,SPST-NO 50mA @ 12VDC Standard Top Actuated Through Hole Tactile Switches ROHS,https://datasheet.lcsc.com/lcsc/1809140819_Korean-Hroparts-Elec-K6-1212A-04_C128978.pdf,1-9:1.022047244,10-29:0.842519685,30-99:0.713385827,100-499:0.606299213,500-999:0.587401575,1000-1999:0.577952756,2000-3999:0.571653543,4000-:0.566929134,0,
C129022,Pushbutton Switches & Relays,DIP Switches,DA-03RP,SW-TH_6P-L9.0-W8.8-P2.54-LS2.5,6,Korean Hroparts Elec,Extended,2.54mm, Full 3 SPST Slide (Standard) Red Through Hole DIP Switches ROHS,https://datasheet.lcsc.com/lcsc/1810101831_Korean-Hroparts-Elec-DA-03RP_C129022.pdf,1-9:0.351968504,10-29:0.291496063,30-99:0.247559055,100-499:0.211496063,500-999:0.205354331,1000-1999:0.202204724,2000-3999:0.200000000,4000-:0.198425197,0,
