C1015374,Relays,Power Relays,JW1AHN-B-DC24V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251233_PANASONIC-JW1AHN-B-DC24V-F_C1015374.pdf,1000-:2.092913386,200-499:2.207874016,30-199:5.705511811,1-9:5.705511811,500-999:2.130708661,10-29:5.705511811,0,
C1015375,Relays,Power Relays,JW1ASN-B-DC9V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251234_PANASONIC-JW1ASN-B-DC9V-F_C1015375.pdf,1000-:2.007874016,200-499:2.119685039,30-199:5.477165354,1-9:5.477165354,500-999:2.045669291,10-29:5.477165354,0,
C1015377,Relays,Power Relays,JW1AFHN-B-DC6V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251234_PANASONIC-JW1AFHN-B-DC6V-F_C1015377.pdf,1000-:2.007874016,200-499:2.119685039,30-199:5.477165354,1-9:5.477165354,500-999:2.045669291,10-29:5.477165354,0,
C1015379,Relays,Power Relays,JW1HN-DC9V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251304_PANASONIC-JW1HN-DC9V_C1015379.pdf,1000-:1.959055118,200-499:2.066141732,30-199:5.340157480,1-9:5.340157480,500-999:1.993700787,10-29:5.340157480,0,
C1015380,Relays,Power Relays,JW1HN-DC6V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251234_PANASONIC-JW1HN-DC6V_C1015380.pdf,1000-:1.959055118,200-499:2.066141732,30-199:5.340157480,1-9:5.340157480,500-999:1.993700787,10-29:5.340157480,0,
C1015381,Relays,Power Relays,JW1FHN-DC6V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251234_PANASONIC-JW1FHN-DC6V_C1015381.pdf,1000-:1.959055118,200-499:2.066141732,30-199:5.340157480,1-9:5.340157480,500-999:1.993700787,10-29:5.340157480,0,
C1015382,Relays,Power Relays,JW1SN-DC9V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251234_PANASONIC-JW1SN-DC9V_C1015382.pdf,1000-:1.959055118,200-499:2.066141732,30-199:5.340157480,1-9:5.340157480,500-999:1.993700787,10-29:5.340157480,0,
C1015383,Relays,Power Relays,JW1FHN-DC9V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251234_PANASONIC-JW1FHN-DC9V_C1015383.pdf,1000-:1.959055118,200-499:2.066141732,30-199:5.340157480,1-9:5.340157480,500-999:1.993700787,10-29:5.340157480,0,
C1015384,Relays,Power Relays,JW1FHN-DC5V,RELAY-TH,5,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251234_PANASONIC-JW1FHN-DC5V_C1015384.pdf,1000-:1.959055118,200-499:2.066141732,30-199:5.340157480,1-9:5.340157480,500-999:1.993700787,10-29:5.340157480,0,
C1015386,Relays,Power Relays,JW1AHN-B-DC6V-F,RELAY-TH,4,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251234_PANASONIC-JW1AHN-B-DC6V-F_C1015386.pdf,1000-:2.007874016,200-499:2.119685039,30-199:5.477165354,1-9:5.477165354,500-999:2.045669291,10-29:5.477165354,0,
C1015388,Relays,Power Relays,JW2HN-DC48V,RELAY-TH,8,PANASONIC,Extended,- Power Relays ROHS,https://datasheet.lcsc.com/lcsc/2104251234_PANASONIC-JW2HN-DC48V_C1015388.pdf,1000-:2.444094488,200-499:2.579527559,30-199:6.662992126,1-9:6.662992126,500-999:2.488188976,10-29:6.662992126,0,
