C1015246,RF & Radio,RF Transceiver ICs,EFR32MG22C224F512IM40-C,QFN-40,41,SILICON LABS,Extended,- RF Transceiver ICs ROHS,https://datasheet.lcsc.com/lcsc/2107280440_SILICON-LABS-EFR32MG22C224F512IM40-C_C1015246.pdf,1000-:1.017322835,200-499:1.074015748,30-199:2.771653543,1-9:2.771653543,500-999:1.036220472,10-29:2.771653543,0,
C1015249,RF & Radio,RF Transceiver ICs,EFR32BG22C224F512IM40-C,QFN-40,40,SILICON LABS,Extended,QFN-40(5x5) RF Transceiver ICs ROHS,https://datasheet.lcsc.com/lcsc/2201131630_SILICON-LABS-EFR32BG22C224F512IM40-C_C1015249.pdf,1-9:1.927559055,10-29:1.573228346,30-99:1.314960630,100-499:1.103937008,500-999:1.067716535,1000-:1.048818898,0,
C1015250,RF & Radio,RF Transceiver ICs,EFR32BG22C224F512IM32-C,QFN-32,33,SILICON LABS,Extended,QFN-32(4x4) RF Transceiver ICs ROHS,https://datasheet.lcsc.com/lcsc/2201131630_SILICON-LABS-EFR32BG22C224F512IM32-C_C1015250.pdf,500-999:0.954330709,10-29:2.554330709,1-9:2.554330709,30-199:2.554330709,200-499:0.988976378,1000-:0.937007874,0,
C1015256,RF & Radio,RF Transceiver ICs,EFR32BG22C222F352GN32-C,QFN-32,33,SILICON LABS,Extended,TQFN-32(4x4) RF Transceiver ICs ROHS,https://datasheet.lcsc.com/lcsc/2201131630_SILICON-LABS-EFR32BG22C222F352GN32-C_C1015256.pdf,1000-:1.103937008,200-499:1.165354331,30-199:3.009448819,1-9:3.009448819,500-999:1.124409449,10-29:3.009448819,0,
C1016157,RF & Radio,RF Amplifiers,ADL8111ACCZN,LGA-28,29,Analog Devices,Extended,LGA-28(6x6mm) RF Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2201131630_Analog-Devices-ADL8111ACCZN_C1016157.pdf,1000-:43.692913386,200-499:46.114960630,30-199:119.160629921,1-9:119.160629921,500-999:44.492913386,10-29:119.160629921,0,
C1017164,RF & Radio,RF Amplifiers,HMC8412LP2FE,LFCSP-6,7,Analog Devices,Extended,LFCSP-6(2x2) RF Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2201131700_Analog-Devices-HMC8412LP2FE_C1017164.pdf,1000-:29.050393701,200-499:30.661417323,30-199:79.228346457,1-9:79.228346457,500-999:29.582677165,10-29:79.228346457,0,
C1019029,RF & Radio,RF attenuator,F2251NLGI,VFQFN-16,17,RENESAS,Extended,VFQFN-16 RF attenuator ROHS,https://datasheet.lcsc.com/lcsc/2105011936_RENESAS-F2251NLGI_C1019029.pdf,1000-:2.622047244,200-499:2.768503937,30-199:7.151181102,1-9:7.151181102,500-999:2.670866142,10-29:7.151181102,0,
C1019030,RF & Radio,RF Amplifiers,F1478NLGA,VFQFPN-16,17,RENESAS,Extended,VFQFPN-16(3x3) RF Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2104291137_RENESAS-F1478NLGA_C1019030.pdf,1000-:2.651968504,200-499:2.800000000,30-199:7.233070866,1-9:7.233070866,500-999:2.700787402,10-29:7.233070866,0,
C1019031,RF & Radio,RF Amplifiers,F1490NLGA,VFQFPN-16,17,RENESAS,Extended,VFQFPN-16(3x3) RF Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2105050736_RENESAS-F1490NLGA_C1019031.pdf,1000-:2.053543307,200-499:2.166929134,30-199:5.596850394,1-9:5.596850394,500-999:2.089763780,10-29:5.596850394,0,
C1019033,RF & Radio,RF Amplifiers,F1421NLGK,VFQFPN-24,25,RENESAS,Extended,VFQFPN-24(4x4) RF Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2104262136_RENESAS-F1421NLGK_C1019033.pdf,1000-:2.262992126,200-499:2.388976378,30-199:6.171653543,1-9:6.171653543,500-999:2.303937008,10-29:6.171653543,0,
C1019034,RF & Radio,RF Amplifiers,F0443LGRI,LGA-48,49,RENESAS,Extended,LGA-48(7x7) RF Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2104301540_RENESAS-F0443LGRI_C1019034.pdf,1000-:8.324409449,200-499:8.785826772,30-199:22.703937008,1-9:22.703937008,500-999:8.477165354,10-29:22.703937008,0,
C1019035,RF & Radio,RF Amplifiers,F0452CLFGK,LGA-32,33,RENESAS,Extended,LGA-32(5x5) RF Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2107280540_RENESAS-F0452CLFGK_C1019035.pdf,1000-:3.499212598,200-499:3.692913386,30-199:9.541732283,1-9:9.541732283,500-999:3.563779528,10-29:9.541732283,0,
C1019037,RF & Radio,RF Amplifiers,F0440NBGI,QFN-36,37,RENESAS,Extended,VFQFPN-36(6x6) RF Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2107280540_RENESAS-F0440NBGI_C1019037.pdf,1000-:4.924409449,200-499:5.196850394,30-199:13.429921260,1-9:13.429921260,500-999:5.014173228,10-29:13.429921260,0,
C1019038,RF & Radio,RF Amplifiers,F0448NBGK,QFN-36,37,RENESAS,Extended,VFQFPN-36(6x6) RF Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2104221635_RENESAS-F0448NBGK_C1019038.pdf,1000-:4.924409449,200-499:5.196850394,30-199:13.429921260,1-9:13.429921260,500-999:5.014173228,10-29:13.429921260,0,
C1019040,RF & Radio,RF Amplifiers,F1420NLGK,VFQFPN-24,25,RENESAS,Extended,VFQFPN-24(4x4) RF Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2105011936_RENESAS-F1420NLGK_C1019040.pdf,1000-:2.262992126,200-499:2.388976378,30-199:6.171653543,1-9:6.171653543,500-999:2.303937008,10-29:6.171653543,0,
C1019041,RF & Radio,RF Amplifiers,F4482LKGI,LGA-56,58,RENESAS,Extended,LGA-56(8x8) RF Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2104291138_RENESAS-F4482LKGI_C1019041.pdf,1000-:15.381102362,200-499:16.233070866,30-199:41.948031496,1-9:41.948031496,500-999:15.662992126,10-29:41.948031496,0,
C1019042,RF & Radio,RF Amplifiers,F1451NKGK,VFQFPN-28,29,RENESAS,Extended,VFQFPN-28(6x6) RF Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2201131700_RENESAS-F1451NKGK_C1019042.pdf,1000-:4.376377953,200-499:4.618897638,30-199:11.933858268,1-9:11.933858268,500-999:4.456692913,10-29:11.933858268,0,
C1019044,RF & Radio,RF Amplifiers,F1130NBGI,VFQFPN-48,49,RENESAS,Extended,VFQFPN-48(7x7) RF Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2104281513_RENESAS-F1130NBGI_C1019044.pdf,1000-:9.431496063,200-499:9.954330709,30-199:25.721259843,1-9:25.721259843,500-999:9.604724409,10-29:25.721259843,0,
C1019045,RF & Radio,RF Amplifiers,F1456NKGK,VFQFPN-28,29,RENESAS,Extended,VFQFPN-28(6x6) RF Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2201131700_RENESAS-F1456NKGK_C1019045.pdf,1000-:4.376377953,200-499:4.618897638,30-199:11.933858268,1-9:11.933858268,500-999:4.456692913,10-29:11.933858268,0,
C1019047,RF & Radio,RF Misc ICs and Modules,F1300NBGI,UQFN-36,37,RENESAS,Extended,VFQFPN-36(6x6) RF Misc ICs and Modules ROHS,https://datasheet.lcsc.com/lcsc/2104251106_RENESAS-F1300NBGI_C1019047.pdf,1000-:7.806299213,200-499:8.239370079,30-199:21.289763780,1-9:21.289763780,500-999:7.949606299,10-29:21.289763780,0,
C1019048,RF & Radio,RF Misc ICs and Modules,F1385NBGI,VFQFPN-36,37,RENESAS,Extended,VFQFPN-36(6x6) RF Misc ICs and Modules ROHS,https://datasheet.lcsc.com/lcsc/2201131700_RENESAS-F1385NBGI_C1019048.pdf,1000-:7.557480315,200-499:7.976377953,30-199:20.609448819,1-9:20.609448819,500-999:7.696062992,10-29:20.609448819,0,
C1019049,RF & Radio,RF Misc ICs and Modules,F1358NBGI,VFQFPN-36,37,RENESAS,Extended,VFQFPN-36(6x6) RF Misc ICs and Modules ROHS,https://datasheet.lcsc.com/lcsc/2104301540_RENESAS-F1358NBGI_C1019049.pdf,1000-:7.557480315,200-499:7.976377953,30-199:20.609448819,1-9:20.609448819,500-999:7.696062992,10-29:20.609448819,0,
C1019050,RF & Radio,RF Misc ICs and Modules,F1350NBGI,VFQFPN-36,37,RENESAS,Extended,- RF Misc ICs and Modules ROHS,https://datasheet.lcsc.com/lcsc/2105031041_RENESAS-F1350NBGI_C1019050.pdf,1000-:6.351181102,200-499:6.703937008,30-199:17.319685039,1-9:17.319685039,500-999:6.467716535,10-29:17.319685039,0,
C1019053,RF & Radio,RF Mixers,F1180NBGI,VFQFPN-48,49,RENESAS,Extended,VFQFPN-48(7x7) RF Mixers ROHS,https://datasheet.lcsc.com/lcsc/2104300805_RENESAS-F1180NBGI_C1019053.pdf,1000-:7.707086614,200-499:8.133858268,30-199:21.017322835,1-9:21.017322835,500-999:7.848818898,10-29:21.017322835,0,
C1019057,RF & Radio,RF Switches,F2955NBGK,VFQFPN-24,25,RENESAS,Extended,VFQFPN-24(4x4) RF Switches ROHS,https://datasheet.lcsc.com/lcsc/2107280540_RENESAS-F2955NBGK_C1019057.pdf,1000-:2.710236220,200-499:2.859842520,30-199:7.387401575,1-9:7.387401575,500-999:2.759055118,10-29:7.387401575,0,
C1019101,RF & Radio,RF Mixers,F1192BNLGK,VFQFPN-24,25,RENESAS,Extended,VFQFPN-24(4x4) RF Mixers ROHS,https://datasheet.lcsc.com/lcsc/2107280540_RENESAS-F1192BNLGK_C1019101.pdf,1000-:3.400000000,200-499:3.588976378,30-199:9.272440945,1-9:9.272440945,500-999:3.462992126,10-29:9.272440945,0,
C1019375,RF & Radio,RF Transceiver ICs,BM83SM1-00AB,Module,50,Microchip Tech,Extended,Module RF Transceiver ICs ROHS, ,1-9:16.281889764,10-29:16.281889764,30-199:16.281889764,200-499:6.302362205,500-999:6.080314961,1000-:5.970078740,0,
C1019394,RF & Radio,RF Switches,ADRF5043BCCZN,QFN-24,25,Analog Devices,Extended,LGA-24(3x3) RF Switches ROHS,https://datasheet.lcsc.com/lcsc/2201131700_Analog-Devices-ADRF5043BCCZN_C1019394.pdf,1000-:55.963779528,200-499:59.066141732,30-199:152.628346457,1-9:152.628346457,500-999:56.988976378,10-29:152.628346457,0,
C1019395,RF & Radio,RF Switches,ADRF5042BCCZN,QFN-24,25,Analog Devices,Extended,LGA-24(3x3) RF Switches ROHS,https://datasheet.lcsc.com/lcsc/2201131700_Analog-Devices-ADRF5042BCCZN_C1019395.pdf,1000-:53.294488189,200-499:56.248818898,30-199:145.348031496,1-9:145.348031496,500-999:54.272440945,10-29:145.348031496,0,
C1019746,RF & Radio,RF Amplifiers,MMA052PP45,QFN-32,33,Microchip Tech,Extended,QFN-32(4.5x4.5) RF Amplifiers ROHS, ,1000-:86.724409449,200-499:91.530708661,30-199:236.519685039,1-9:236.519685039,500-999:88.313385827,10-29:236.519685039,0,
C1019747,RF & Radio,RF Amplifiers,MMA053PP5,VFQFPN-32,33,Microchip Tech,Extended,QFN-32(5x5) RF Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2104251107_Microchip-Tech-MMA053PP5_C1019747.pdf,1000-:56.200000000,200-499:59.314960630,30-199:153.274015748,1-9:153.274015748,500-999:57.229921260,10-29:153.274015748,0,
C1019774,RF & Radio,RF Amplifiers,ADL9006ACGZN,LFCSP-32,33,Analog Devices,Extended,LFCSP-32-CAV(5x5) RF Amplifiers ROHS, ,1000-:84.491338583,200-499:89.173228346,30-199:230.428346457,1-9:230.428346457,500-999:86.039370079,10-29:230.428346457,0,
C1020029,RF & Radio,RF attenuator,ADRF5740BCCZN,LGA-16,17,Analog Devices,Extended,VFLGA-16 RF attenuator ROHS, ,1000-:61.807874016,200-499:65.233070866,30-199:168.566929134,1-9:168.566929134,500-999:62.941732283,10-29:168.566929134,0,
C1020030,RF & Radio,RF Amplifiers,ADL8104ACPZN,LFCSP-16,17,Analog Devices,Extended,LFCSP-16-WQ(3x3) RF Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2107280540_Analog-Devices-ADL8104ACPZN_C1020030.pdf,1000-:55.200000000,200-499:58.259842520,30-199:150.544881890,1-9:150.544881890,500-999:56.212598425,10-29:150.544881890,0,
C1020356,RF & Radio,RF Switches,ADRF5300BCCZN,LGA-20,21,Analog Devices,Extended,LGA-20(3x3) RF Switches ROHS,https://datasheet.lcsc.com/lcsc/2107280540_Analog-Devices-ADRF5300BCCZN_C1020356.pdf,1000-:8.248818898,200-499:8.705511811,30-199:22.492913386,1-9:22.492913386,500-999:8.400000000,10-29:22.492913386,0,
C1020362,RF & Radio,RF Transceiver ICs,MGM220PC22HNA2,WIRELM-SMD,31,SILICON LABS,Extended,- RF Transceiver ICs ROHS, ,1000-:2.727559055,200-499:2.878740157,30-199:7.437795276,1-9:7.437795276,500-999:2.777952756,10-29:7.437795276,0,
C105184,RF & Radio,RF Transceiver ICs,F115,SOT-23-6L,6,Synoxo,Extended,SOT-23-6 RF Transceiver ICs ROHS,https://datasheet.lcsc.com/lcsc/1912111437_Synoxo-F115_C105184.pdf,1-9:0.628346457,10-29:0.521259843,30-99:0.444094488,100-499:0.381102362,500-999:0.370078740,1000-1999:0.363779528,2000-3999:0.360629921,4000-:0.357480315,523,
C105628,RF & Radio,RF Switches,SKY13370-374LF,DFN-6_EP_1.5x1.5x0.5P,7,Skyworks Solutions,Extended,DFN-6 RF Switches ROHS,https://datasheet.lcsc.com/lcsc/1806071819_Skyworks-Solutions-SKY13370-374LF_C105628.pdf,1-9:0.607874016,10-29:0.497637795,30-99:0.418897638,100-499:0.354330709,500-999:0.343307087,1000-1999:0.337007874,2000-3999:0.333858268,4000-:0.330708661,0,
C105630,RF & Radio,RF Switches,SKY13377-313LF,DFN-6_EP_2.0x3.0x0.95P,6,Skyworks Solutions,Extended,DFN-6(2x3) RF Switches ROHS,https://datasheet.lcsc.com/lcsc/1912111436_Skyworks-Solutions-SKY13377-313LF_C105630.pdf,2000-3999:0.387401575,4000-:0.384251969,1-9:0.689763780,10-29:0.570078740,30-99:0.481889764,100-499:0.411023622,1000-1999:0.392125984,500-999:0.398425197,0,
C105639,RF & Radio,RF Transceiver ICs,PE42421SCAA-Z,SOT-363,6,PSemi,Extended,10MHz ~ 3GHz 1.8V ~ 3.3V SC-70-6(SOT-363) RF Transceiver ICs RoHS,https://datasheet.lcsc.com/lcsc/1809251111_PSemi-PE42421SCAA-Z_C105639.pdf,1-9:0.771653543,10-29:0.751181102,30-99:0.738582677,100-499:0.724409449,500-:0.724409449,0,
C105680,RF & Radio,RF Filters,0500LP15A500E,FILTER-SMD,8,Johanson Dielectrics,Extended,SMD RF Filters ROHS,https://datasheet.lcsc.com/lcsc/1810161815_Johanson-Dielectrics-0500LP15A500E_C105680.pdf,1-9:0.773228346,10-29:0.755905512,30-99:0.743307087,100-499:0.732283465,500-:0.732283465,0,
C105687,RF & Radio,RF Misc ICs and Modules,PD0409J5050S2HF,SOIC-6,6,Anaren,Extended,Surface Mount6PIN RF Misc ICs and Modules ROHS,https://datasheet.lcsc.com/lcsc/1810301711_Anaren-PD0409J5050S2HF_C105687.pdf,1-9:0.902362205,10-29:0.881889764,30-99:0.867716535,100-499:0.853543307,500-:0.853543307,0,
C107313,RF & Radio,RF Filters,DEA165850LT-1197B2,FILTER-SMD,4,TDK,Extended,1.6x0.8mm RF Filters ROHS,https://datasheet.lcsc.com/lcsc/1810161813_TDK-DEA165850LT-1197B2_C107313.pdf,50-145:0.089291339,5-45:0.107244094,150-495:0.076062992,500-2495:0.065354331,2500-4995:0.063464567,5000-:0.062519685,31,
C107736,RF & Radio,Low Noise Amplifiers (LNA) - RF,LT1399CS#PBF,SOP-16_3.9x10.1x1.27P,16,Analog Devices,Extended,4V ~ 12V, ㊣2V ~ 6V 800 V/us 4.6mA 300MHz Current Feedback 3 SOP-16_150mil Low Noise Amplifiers (LNA) - RF ROHS,https://datasheet.lcsc.com/lcsc/1809051219_Analog-Devices-LT1399CS-PBF_C107736.pdf,102-103:5.603149606,500-999:5.491338583,1-9:6.518110236,30-99:5.759055118,1000-:5.491338583,10-29:5.861417323,104-499:5.603149606,100-101:5.603149606,0,
C107975,RF & Radio,RF Detectors,LTC5507ES6#PBF,TSOT-23-6,6,Analog Devices,Extended,SOT-23-6 RF Detectors ROHS,https://datasheet.lcsc.com/lcsc/1807311835_Analog-Devices-LTC5507ES6-PBF_C107975.pdf,500-999:1.896062992,30-99:2.291338583,2000-3999:1.847244094,4000-:1.833070866,1-9:3.266141732,10-29:2.702362205,100-499:1.954330709,1000-1999:1.867716535,0,
C107976,RF & Radio,RF Detectors,LTC5536ES6#TRPBF,TSOT-23-6,6,Analog Devices,Extended,TSOT-23-6 RF Detectors ROHS,https://datasheet.lcsc.com/lcsc/1807311633_Analog-Devices-LTC5536ES6-TRPBF_C107976.pdf,30-99:2.902362205,100-499:2.825196850,500-999:2.790551181,1000-1999:2.749606299,2000-3999:2.718110236,4000-:2.696062992,1-9:3.398425197,10-29:2.979527559,0,
C108214,RF & Radio,RF Transceiver ICs,OM966302HNQL,HVQFN-32_EP_5.0x5.0x0.5P,33,NXP Semicon,Extended,HVQFN-32(5x5) RF Transceiver ICs ROHS,https://datasheet.lcsc.com/lcsc/1811151645_NXP-Semicon-OM966302HNQL_C108214.pdf,1-9:3.951181102,10-29:3.264566929,30-99:2.766929134,100-499:2.355905512,500-999:2.286614173,1000-1999:2.251968504,2000-3999:2.225196850,4000-:2.207874016,0,
C108345,RF & Radio,RF Transceiver ICs,CC2650F128RGZT,VQFN-48_EP_7.0x7.0x0.5P,48,Texas Instruments,Extended,VQFN-48_7x7x05P RF Transceiver ICs ROHS,https://datasheet.lcsc.com/lcsc/1809131538_Texas-Instruments-CC2650F128RGZT_C108345.pdf,10-29:6.922834646,100-499:6.922834646,1000-:6.922834646,500-999:6.922834646,1-9:7.130708661,30-99:6.922834646,0,
C108795,RF & Radio,Low Noise Amplifiers (LNA) - RF,BA4580RF-E2,SOP-8_3.9x4.9x1.27P,8,ROHM Semicon,Extended,4V ~ 32V, ㊣2V ~ 16V 5 V/us 6mA 5MHz General Purpose 2 SOP-8_150mil Low Noise Amplifiers (LNA) - RF ROHS,https://datasheet.lcsc.com/lcsc/1811022120_ROHM-Semicon-BA4580RF-E2_C108795.pdf,1-9:0.190866142,30-99:0.136062992,1000-:0.112283465,10-29:0.159102362,100-499:0.117007874,500-999:0.113858268,81,
C110476,RF & Radio,Low Noise Amplifiers (LNA) - RF,AZ4580MTR-E1,SOIC-8_3.9x4.9x1.27P,8,Diodes Incorporated,Extended,㊣2V ~ 18V 7 V/us 4mA 15MHz General Purpose 2 SOIC-8_150mil Low Noise Amplifiers (LNA) - RF ROHS,https://datasheet.lcsc.com/lcsc/1810301438_Diodes-Incorporated-AZ4580MTR-E1_C110476.pdf,2500-4995:0.081417323,10000-19995:0.079842520,5-45:0.125511811,50-145:0.107401575,150-495:0.094173228,500-2495:0.083307087,5000-9995:0.080472441,20000-:0.079370079,121,
C110623,RF & Radio,Voltage Controlled Oscillators (VCO),MAX2606EUT+T,SOT-23-6L,6,Maxim Integrated,Extended,SOT-23-6 Voltage Controlled Oscillators (VCO) ROHS,https://datasheet.lcsc.com/lcsc/1912111437_Maxim-Integrated-MAX2606EUT-T_C110623.pdf,1-9:1.207874016,10-29:0.984251969,30-99:0.822047244,100-499:0.688188976,500-999:0.664566929,1000-1999:0.653543307,2000-3999:0.645669291,4000-:0.639370079,67,
C110917,RF & Radio,RF Transceiver ICs,TLE6258-2G,SOIC-8_3.9x4.9x1.27P,8,Infineon Technologies,Extended,4.5V ~ 5.5V TxRx Only SOIC-8_150mil RF Transceiver ICs ROHS,https://datasheet.lcsc.com/lcsc/1912111436_Infineon-Technologies-TLE6258-2G_C110917.pdf,4000-:0.678740157,500-999:0.703937008,2000-3999:0.685039370,1-9:1.222047244,30-99:0.853543307,1000-1999:0.692913386,10-29:1.007874016,100-499:0.724409449,0,
C111227,RF & Radio,RF Transceiver ICs,PN7120A0EV/C10801E,VFBGA-49,49,NXP Semicon,Extended,VFBGA-49 RF Transceiver ICs ROHS,https://datasheet.lcsc.com/lcsc/1809131539_NXP-Semicon-PN7120A0EV-C10801E_C111227.pdf,1-9:10.601574803,10-29:9.500787402,30-99:9.327559055,102-103:9.066141732,100-101:9.066141732,104-:9.066141732,0,
C112665,RF & Radio,Balun,HHM1595A1,0805,3,TDK,Extended,180㊣20 deg 8dB 3GHz ~ 8GHz 1.5dB 50次 100次 0805 Balun ROHS,https://datasheet.lcsc.com/lcsc/1810161213_TDK-HHM1595A1_C112665.pdf,1-9:0.158645669,10-29:0.130393701,30-99:0.109763780,100-499:0.092913386,500-999:0.090078740,1000-:0.088661417,17234,
C112742,RF & Radio,Low Noise Amplifiers (LNA) - RF,KIA4558P/P,DIP-8,8,KEC Semicon,Extended,1 V/us 3MHz General Purpose 2 DIP-8 Low Noise Amplifiers (LNA) - RF ROHS,https://datasheet.lcsc.com/lcsc/1809051220_KEC-Semicon-KIA4558P-P_C112742.pdf,10-29:0.137637795,30-99:0.117007874,100-499:0.100000000,500-999:0.097165354,1000-1999:0.095748031,2000-3999:0.094645669,4000-:0.094015748,1-9:0.165905512,9,
C11322,RF & Radio,RF Transceiver ICs,MFRC52202HN1,151,QFN-32_EP_5.0x5.0x0.5P,33,NXP Semicon,Extended,QFN-32_5x5x05P RF Transceiver ICs ROHS,https://datasheet.lcsc.com/lcsc/1810141112_NXP-Semicon-MFRC52202HN1-151_C11322.pdf,1-9:5.000000000,10-29:4.248818898,30-99:3.639370079,100-499:2.981102362,500-999:2.840944882,1000-1999:2.817322835,2000-3999:2.793700787,4000-:2.773228346,539,
C11356,RF & Radio,RF Transceiver ICs,EM4095HMS,SOIC-16_3.9x9.9x1.27P,16,EM Microelectronic-Marin SA,Extended,4.1V~5.5V 125kHz SOIC-16_150mil RF Transceiver ICs ROHS,https://datasheet.lcsc.com/lcsc/1804240032_EM-Microelectronic-Marin-SA-EM4095HMS_C11356.pdf,1-9:1.710236220,10-29:1.242519685,30-99:1.155905512,100-499:1.070866142,500-999:1.033070866,1000-1999:1.014173228,2000-3999:1.000000000,4000-:0.990551181,0,
C113734,RF & Radio,RF Transceiver ICs,MAX7044AKA+T,SOT-23-8,8,Maxim Integrated,Extended,2.1V ~ 3.6V 13dBm Tx Only 300MHz ~ 450MHz SOT-23-8 RF Transceiver ICs ROHS,https://datasheet.lcsc.com/lcsc/1804241420_Maxim-Integrated-MAX7044AKA-T_C113734.pdf,1-9:2.880314961,10-29:2.382677165,30-99:2.020472441,100-499:1.722834646,500-999:1.672440945,1000-:1.647244094,48,
C1137509,RF & Radio,RF Transceiver ICs,NXH3670SDKUL,WLCSP-34,34,NXP Semicon,Extended,- RF Transceiver ICs ROHS,https://datasheet.lcsc.com/lcsc/2201132300_NXP-Semicon-NXH3670SDKUL_C1137509.pdf,1000-:710.332283465,200-499:749.697637795,30-199:1937.270866142,1-9:1937.270866142,500-999:723.351181102,10-29:1937.270866142,0,
C114062,RF & Radio,Antennas,2450BM15A0002E,SMD-6_1.25x2.0x0.65P,6,Johanson Dielectrics,Extended,Surface Mount Antennas ROHS,https://datasheet.lcsc.com/lcsc/1809291521_Johanson-Dielectrics-2450BM15A0002E_C114062.pdf,500-999:0.327559055,1-9:0.535433071,30-99:0.387401575,10-29:0.448818898,100-499:0.335433071,1000-:0.322834646,3694,
C114187,RF & Radio,Tunable Filters,HMC1044LP3ETR,QFN-16_EP_3.0x3.0x0.5P,16,Analog Devices,Extended,QFN-16_3x3x05P Tunable Filters ROHS,https://datasheet.lcsc.com/lcsc/1809131550_Analog-Devices-HMC1044LP3ETR_C114187.pdf,10-29:19.812598425,34-35:19.316535433,36-:19.316535433,1-9:19.812598425,32-33:19.316535433,30-31:19.316535433,0,
C114598,RF & Radio,RF Transceiver ICs,SE8R01,SOP-16,16,C0MTEK,Extended,SOP-16_150mil RF Transceiver ICs ROHS,https://datasheet.lcsc.com/lcsc/2002200806_C0MTEK-SE8R01_C114598.pdf,500-999:0.272440945,1000-1999:0.269291339,2000-3999:0.266141732,4000-:0.262992126,1-9:0.480314961,10-29:0.395275591,30-99:0.332283465,100-499:0.281889764,0,
C114789,RF & Radio,Diplexers,TPX205950MT-7110A1,DIPLEXER-SMD,8,TDK,Extended,Surface Mount Diplexers ROHS,https://datasheet.lcsc.com/lcsc/1810181741_TDK-TPX205950MT-7110A1_C114789.pdf,5-45:0.108346457,50-145:0.089763780,150-495:0.076220472,500-2495:0.065039370,2500-4995:0.063149606,5000-:0.062204724,27259,
C114953,RF & Radio,RF Switches,BGS12SN6E6327XTSA1,TSNP-6,6,Infineon Technologies,Extended,TSNP-6 RF Switches ROHS,https://datasheet.lcsc.com/lcsc/1808281700_Infineon-Technologies-BGS12SN6E6327XTSA1_C114953.pdf,1-9:0.194173228,10-29:0.157968504,30-99:0.131811024,100-499:0.110236220,500-999:0.106456693,1000-1999:0.104724409,2000-3999:0.103307087,4000-:0.102362205,0,
C115495,RF & Radio,RF Switches,BAR6402VH6327XTSA1,SC-79,2,Infineon Technologies,Extended,SC-79 RF Switches ROHS,https://datasheet.lcsc.com/lcsc/1810121852_Infineon-Technologies-BAR6402VH6327XTSA1_C115495.pdf,20000-:0.042992126,10000-19995:0.043307087,5000-9995:0.043779528,2500-4995:0.044409449,500-2495:0.045826772,150-495:0.053543307,50-145:0.062834646,5-45:0.075905512,16673,
C115709,RF & Radio,RF Transceiver ICs,SYN500R,SSOP-16_3.9x4.9x0.635P,16,Synoxo,Extended,SSOP-16 RF Transceiver ICs ROHS,https://datasheet.lcsc.com/lcsc/1809291621_Synoxo-SYN500R_C115709.pdf,1-9:2.163779528,10-29:1.773228346,30-99:1.489763780,100-499:1.256692913,500-999:1.217322835,1000-1999:1.196850394,2000-3999:1.182677165,4000-:1.173228346,111,
C115720,RF & Radio,Antennas,AN1603-868,ANT-SMD,2,Rainsun microwave Tech,Extended,SMD Antennas ROHS,https://datasheet.lcsc.com/lcsc/1811091710_Rainsun-microwave-Tech-AN1603-868_C115720.pdf,1-9:2.341732283,10-29:1.925984252,30-99:1.625196850,100-499:1.376377953,500-999:1.333858268,1000-1999:1.313385827,2000-3999:1.297637795,4000-:1.286614173,0,
