C10077,Sensors,Photoresistors,GL5516(5-10),RES-TH,2,JCHL(Shenzhen Jing Chuang He Li Tech),Extended,150V 5k次~10k次 540nm 0.2M次 Plugin Photoresistors ROHS,https://datasheet.lcsc.com/lcsc/1811131631_JCHL-Shenzhen-Jing-Chuang-He-Li-Tech-GL5516-5-10_C10077.pdf,10-90:0.048031496,100-290:0.040314961,300-990:0.034803150,1000-4990:0.030236220,5000-9990:0.029448819,10000-19990:0.028976378,20000-39990:0.028661417,40000-:0.028503937,3851,
C10078,Sensors,Photoresistors,GL5549(80-100),RES-TH,2,JCHL(Shenzhen Jing Chuang He Li Tech),Extended,80k次~100k次 150V 540nm 20M次 Plugin Photoresistors ROHS,https://datasheet.lcsc.com/lcsc/1810170731_JCHL-Shenzhen-Jing-Chuang-He-Li-Tech-GL5549-80-100_C10078.pdf,10-90:0.044881890,100-290:0.037165354,300-990:0.031653543,1000-4990:0.027086614,5000-9990:0.026299213,10000-19990:0.025826772,20000-39990:0.025511811,40000-:0.025354331,115,
C10079,Sensors,Photoresistors,GL5539(40-50),RES-TH,2,JCHL(Shenzhen Jing Chuang He Li Tech),Extended,40k次~50k次 150V 540nm 10M次 Plugin Photoresistors ROHS,https://datasheet.lcsc.com/lcsc/1810170711_JCHL-Shenzhen-Jing-Chuang-He-Li-Tech-GL5539-40-50_C10079.pdf,10-90:0.045039370,100-290:0.037322835,300-990:0.031653543,1000-4990:0.027086614,5000-9990:0.026299213,10000-19990:0.025826772,20000-39990:0.025669291,40000-:0.025354331,490,
C10080,Sensors,Photoresistors,GL5537(20-30),RES-TH,2,JCHL(Shenzhen Jing Chuang He Li Tech),Extended,150V 20k次~30k次 540nm 5M次 Plugin Photoresistors ROHS,https://datasheet.lcsc.com/lcsc/1810170710_JCHL-Shenzhen-Jing-Chuang-He-Li-Tech-GL5537-20-30_C10080.pdf,5000-9990:0.025511811,20000-39990:0.024724409,100-290:0.036377953,1000-4990:0.026299213,40000-:0.024566929,10-90:0.044094488,300-990:0.030866142,10000-19990:0.025039370,778,
C10081,Sensors,Photoresistors,GL5528(10-20),RES-TH,2,JCHL(Shenzhen Jing Chuang He Li Tech),Extended,10k次~20k次 150V 540nm 1M次 Plugin Photoresistors ROHS,https://datasheet.lcsc.com/lcsc/1810251814_JCHL-Shenzhen-Jing-Chuang-He-Li-Tech-GL5528-10-20_C10081.pdf,10-90:0.048031496,100-290:0.040314961,300-990:0.034803150,1000-4990:0.030236220,5000-9990:0.029448819,10000-19990:0.028976378,20000-39990:0.028661417,40000-:0.028503937,4863,
C10082,Sensors,Photoresistors,GL3528(10-20K),RES-TH_L3.3-W3.0-P2.00_CDS,2,JCHL(Shenzhen Jing Chuang He Li Tech),Extended,-30⊥~+70⊥ 10k次~20k次 150V 540nm 1M次 30ms 20ms Plugin Photoresistors ROHS,https://datasheet.lcsc.com/lcsc/1809191913_JCHL-Shenzhen-Jing-Chuang-He-Li-Tech-GL3528-10-20K_C10082.pdf,5-45:0.124566929,50-145:0.100944882,150-495:0.083779528,500-2495:0.069606299,2500-4995:0.067086614,5000-9995:0.065984252,10000-19995:0.065039370,20000-:0.064409449,906,
C10083,Sensors,Photoresistors,GL3549,RES-TH,2,JCHL(Shenzhen Jing Chuang He Li Tech),Extended,50k次~100k次 150V 540nm 20M次 Plugin Photoresistors ROHS,https://datasheet.lcsc.com/lcsc/1809140414_JCHL-Shenzhen-Jing-Chuang-He-Li-Tech-GL3549_C10083.pdf,5-45:0.142992126,50-145:0.118740157,150-495:0.101102362,500-2495:0.086614173,2500-4995:0.084251969,5000-9995:0.082992126,10000-19995:0.082047244,20000-:0.081417323,959,
C1015268,Sensors,Angle, Linear Position Sensors,ZMID5201AE1T,TSSOP-14,14,RENESAS,Extended,TSSOP-14 Angle, Linear Position Sensors ROHS,https://datasheet.lcsc.com/lcsc/2201131630_RENESAS-ZMID5201AE1T_C1015268.pdf,1000-:2.648818898,200-499:2.795275591,30-199:7.223622047,1-9:7.223622047,500-999:2.697637795,10-29:7.223622047,0,
C1015269,Sensors,Angle, Linear Position Sensors,ZMID5202AE1T,TSSOP-14,14,RENESAS,Extended,TSSOP-14 Angle, Linear Position Sensors ROHS,https://datasheet.lcsc.com/lcsc/2201131630_RENESAS-ZMID5202AE1T_C1015269.pdf,1000-:2.648818898,200-499:2.795275591,30-199:7.223622047,1-9:7.223622047,500-999:2.697637795,10-29:7.223622047,0,
C1015757,Sensors,Magnetic Sensors,MLX90395KDC-BBA-000-SP,SOIC-8,8,Melexis,Extended,SOIC-8 Magnetic Sensors ROHS,https://datasheet.lcsc.com/lcsc/2107280440_Melexis-MLX90395KDC-BBA-000-SP_C1015757.pdf,1000-:1.598425197,200-499:1.686614173,30-199:4.355905512,1-9:4.355905512,500-999:1.626771654,10-29:4.355905512,0,
